disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,country_name,designated_area,declaration_request_number,deaths,incident_duration
378,Kansas,Velika katastrofa,1973-05-02,Flood,Severe Storms & Flooding,0,0,1,0,1973-05-02,1973-05-02,Jefferson County (Kansas),Jefferson (County),73039,2227,23
4453,Oklahoma,Velika katastrofa,2019-07-12,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,1,2019-04-30,2019-05-01,Ottawa County (Oklahoma),Ottawa (County),19047,261,19
1407,Kentucky,Velika katastrofa,2002-04-04,Severe Storm,Severe Storms And Flooding,0,0,1,0,2002-03-17,2002-03-21,Wayne County (Kentucky),Wayne (County),2025,674,20
3095,Tennessee,Upravljanje hitnim situacijama,1993-03-14,Snowstorm,"Severe Snowfall, Winter Storm",0,0,1,0,1993-03-13,1993-03-17,Sullivan County (Tennessee),Sullivan (County),93008,2433,14
422,Alabama,Velika katastrofa,1974-04-04,Tornado,Tornadoes,0,1,1,0,1974-04-04,1974-04-04,Franklin County (Alabama),Franklin (County),74028,6722,15
3228,Oregon,Upravljanje hitnim situacijama,2005-09-07,Coastal Storm,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Umatilla County,Umatilla (County),5104,1554,1
3574,Louisiana,Upravljanje hitnim situacijama,2021-09-13,Coastal Storm,Tropical Storm Nicholas,0,0,1,0,2021-09-12,2021-09-18,Jefferson Davis Parish,Jefferson Davis (Parish),21101,6473,19
1870,Alabama,Velika katastrofa,2009-12-31,Severe Storm,Severe Storms And Flooding,0,0,1,1,2009-12-12,2009-12-18,Russell County (Alabama),Russell (County),9129,7254,15
386,Iowa,Velika katastrofa,1973-05-23,Flood,Severe Storms & Flooding,0,1,1,0,1973-05-23,1973-05-23,Wayne County (Iowa),Wayne (County),73042,1722,18
3112,Virginia,Upravljanje hitnim situacijama,1993-03-25,Snowstorm,Severe Winter Storm,0,0,1,0,1993-03-13,1993-03-14,Norfolk city,Norfolk,93025,3212,23
4468,Florida,Velika katastrofa,2019-10-21,Hurricane,Hurricane Dorian,0,0,1,1,2019-08-28,2019-09-09,St. Johns County,St. Johns (County),19085,3175,9
4420,Nebraska,Velika katastrofa,2019-03-21,Flood,"Severe Winter Storm, Straight-Line Winds, And Flooding",0,0,1,1,2019-03-09,2019-07-14,Morrill County,Morrill (County),19009,9710,1
378,Kansas,Velika katastrofa,1973-05-02,Flood,Severe Storms & Flooding,0,0,1,0,1973-05-02,1973-05-02,Kingman County,Kingman (County),73039,1033,20
3319,Alabama,Upravljanje hitnim situacijama,2011-04-27,Severe Storm,"Severe Storms, Tornadoes, And Straight-Line Winds",0,0,1,0,2011-04-27,2011-05-31,Hale County (Alabama),Hale (County),11079,7545,19
1102,Idaho,Velika katastrofa,1996-02-11,Severe Storm,Severe Storms And Flooding,0,1,1,0,1996-02-06,1996-02-23,Bonner County,Bonner (County),96037,6100,19
4298,South Dakota,Velika katastrofa,2017-02-01,Severe Storm,Severe Winter Storm,0,0,1,1,2016-12-24,2016-12-26,Codington County,Codington (County),17005,9603,16
1393,Florida,Velika katastrofa,2001-09-28,Coastal Storm,"Severe Storms, Tornadoes And Flooding Associated With Tropical Storm Gabrielle",0,0,1,1,2001-09-13,2001-09-21,DeSoto County (Florida),DeSoto (County),1094,8438,12
3234,South Dakota,Upravljanje hitnim situacijama,2005-09-10,Coastal Storm,Hurricane Katrina Evacuation,0,0,1,0,2005-09-06,2005-10-01,Mellette County,Mellette (County),5105,5242,13
359,Virginia,Velika katastrofa,1972-10-10,Flood,Severe Storms & Flooding,0,1,1,0,1972-10-10,1972-10-10,Amherst County,Amherst (County),72058,2095,2
3239,Iowa,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Carroll County (Iowa),Carroll (County),5114,4618,15
4238,Missouri,Velika katastrofa,2015-08-07,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,1,2015-05-15,2015-07-27,Clinton County (Missouri),Clinton (County),15044,4707,18
3254,North Carolina,Upravljanje hitnim situacijama,2005-09-14,Hurricane,Hurricane Ophelia,0,0,1,0,2005-09-11,2005-09-17,Onslow County,Onslow (County),5129,3274,5
1472,Arkansas,Velika katastrofa,2003-06-06,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,1,1,1,2003-05-02,2003-06-10,Jackson County (Arkansas),Jackson (County),3049,6022,20
2798,Texas,Upravljanje požarom,2009-03-05,Fire,Tuscola Fire,0,0,1,0,2009-03-05,2009-03-10,Taylor County (Texas),Taylor (County),9030,8612,7
1264,Louisiana,Velika katastrofa,1999-01-21,Severe Storm,Severe Ice Storm,0,0,1,1,1998-12-22,1998-12-28,West Carroll Parish,West Carroll (Parish),99002,1553,22
3216,Texas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,McCulloch County,McCulloch (County),5090,9388,2
708,Tennessee,Velika katastrofa,1984-05-25,Flood,Severe Storms & Flooding,0,0,1,0,1984-05-06,1984-05-11,Jackson County (Tennessee),Jackson (County),84036,4376,2
3374,Missouri,Upravljanje hitnim situacijama,2016-01-02,Flood,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",0,0,1,0,2015-12-22,2016-01-09,St. Louis County (Missouri),St. Louis (County),16001,9979,19
3379,Georgia,Upravljanje hitnim situacijama,2016-10-06,Hurricane,Hurricane Matthew,0,0,1,0,2016-10-04,2016-10-15,Wayne County (Georgia),Wayne (County),16099,3802,7
3212,Louisiana,Upravljanje hitnim situacijama,2005-08-27,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26,2005-11-01,St. Charles Parish,St. Charles (Parish),5078,4057,14
1132,West Virginia,Velika katastrofa,1996-08-14,Fire,"Heavy Rains, High Winds, Flooding, And Slides",0,1,1,0,1996-07-18,1996-07-31,Braxton County,Braxton (County),96167,8369,12
3216,Texas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Wilbarger County,Wilbarger (County),5090,6564,9
3202,Nevada,Upravljanje hitnim situacijama,2005-02-17,Snowstorm,Record And/Or Near Record Snow,0,0,1,0,2004-12-29,2005-01-02,Lyon County (Nevada),Lyon (County),5016,1144,19
4427,Tennessee,Velika katastrofa,2019-04-17,Flood,"Severe Storms, Flooding, Landslides, And Mudslides",0,0,1,1,2019-02-19,2019-03-30,Hamilton County (Tennessee),Hamilton (County),19013,9874,3
233,New York,Velika katastrofa,1967-10-30,Flood,Severe Storms & Flooding,0,1,1,0,1967-10-30,1967-10-30,Allegany County (New York),Allegany (County),67027,5348,21
903,Kansas,Velika katastrofa,1991-04-29,Tornado,Severe Storms & Tornadoes,0,1,0,0,1991-04-26,1991-05-19,Wabaunsee County,Wabaunsee (County),91022,6573,2
1299,South Carolina,Velika katastrofa,1999-09-21,Hurricane,Hurricane Floyd Major Disaster Declarations,0,0,1,0,1999-09-14,1999-09-30,Darlington County,Darlington (County),99100,7277,8
4354,Maine,Velika katastrofa,2018-01-02,Severe Storm,Severe Storm And Flooding,0,0,1,1,2017-10-29,2017-11-01,Cumberland County (Maine),Cumberland (County),18002,306,19
946,Minnesota,Velika katastrofa,1992-06-26,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,1,0,1992-06-16,1992-06-20,Yellow Medicine County,Yellow Medicine (County),92021,2787,4
110,Georgia,Velika katastrofa,1961-03-02,Flood,Floods,0,1,1,1,1961-03-02,1961-03-02,Georgia,Statewide,61011,4169,22
717,South Dakota,Velika katastrofa,1984-07-19,Flood,Severe Storms & Flooding,0,0,1,0,1984-06-11,1984-06-11,Union County (South Dakota),Union (County),84050,7679,7
930,Texas,Velika katastrofa,1991-12-26,Flood,Severe Thunderstorms,0,1,0,0,1991-12-20,1992-01-14,Hood County,Hood (County),91063,1788,12
211,California,Velika katastrofa,1965-12-07,Flood,Heavy Rains & Flooding,0,1,1,0,1965-12-07,1965-12-07,Riverside County,Riverside (County),65037,9383,2
4657,Oklahoma,Velika katastrofa,2022-06-29,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,0,0,1,2022-05-02,2022-05-08,Cherokee County (Oklahoma),Cherokee (County),22049,49,19
1603,Louisiana,Velika katastrofa,2005-08-29,Hurricane,Hurricane Katrina,1,1,1,1,2005-08-29,2005-11-01,Assumption Parish,Assumption (Parish),5084,2787,9
1805,Ohio,Velika katastrofa,2008-10-24,Severe Storm,Severe Wind Storm Associated With Tropical Depression Ike,0,0,1,1,2008-09-14,2008-09-14,Pickaway County,Pickaway (County),8172,4780,12
4290,Minnesota,Velika katastrofa,2016-11-02,Flood,Severe Storms And Flooding,0,0,1,1,2016-09-21,2016-09-24,Fillmore County (Minnesota),Fillmore (County),16111,7400,18
2933,New Mexico,Upravljanje požarom,2011-06-26,Fire,Las Conchas Fire,0,0,1,0,2011-06-26,2011-08-25,Los Alamos County,Los Alamos (County),11150,149,12
266,Ohio,Velika katastrofa,1969-07-15,Tornado,"Tornadoes, Severe Storms & Flooding",0,1,1,0,1969-07-15,1969-07-15,Harrison County (Ohio),Harrison (County),69029,4144,13
4375,Nebraska,Velika katastrofa,2018-06-29,Snowstorm,Severe Winter Storm And Straight-Line Winds,0,0,1,1,2018-04-13,2018-04-18,Boyd County (Nebraska),Boyd (County),18030,6434,11
1455,West Virginia,Velika katastrofa,2003-03-14,Severe Storm,"Severe Winter Storm, Record/Near Record Snow, Heavy Rains, Flooding And Landslides",1,1,1,1,2003-02-16,2003-03-28,Monroe County (West Virginia),Monroe (County),3010,6307,9
1370,Minnesota,Velika katastrofa,2001-05-16,Flood,"Severe Winter Storms, Flooding, And Tornadoes",0,1,1,0,2001-03-23,2001-07-03,Nicollet County,Nicollet (County),1050,6192,14
4573,Alabama,Velika katastrofa,2020-12-10,Hurricane,Hurricane Zeta,1,0,1,1,2020-10-28,2020-10-29,Mobile County,Mobile (County),20320,8964,17
3216,Texas,Upravljanje hitnim situacijama,2005-09-02,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Live Oak County,Live Oak (County),5090,7138,17
4239,Kentucky,Velika katastrofa,2015-08-12,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, Flooding, Landslides, And Mudslide",1,0,1,1,2015-07-11,2015-07-20,Carter County (Kentucky),Carter (County),15042,6716,1
3044,Georgia,Upravljanje hitnim situacijama,1977-07-20,Drought,Drought,0,0,1,0,1977-07-20,1977-07-20,Camden County (Georgia),Camden (County),77101,2140,13
4124,Arkansas,Velika katastrofa,2013-06-25,Severe Storm,"Severe Storms, Tornadoes, And Flooding",0,0,1,1,2013-05-30,2013-06-03,Scott County (Arkansas),Scott (County),13036,8594,21
3545,Alabama,Upravljanje hitnim situacijama,2020-09-14,Hurricane,Hurricane Sally,0,0,1,0,2020-09-14,2020-09-16,Jackson County (Alabama),Jackson (County),20291,9964,20
1292,North Carolina,Velika katastrofa,1999-09-16,Hurricane,Hurricane Floyd Major Disaster Declarations,0,1,1,1,1999-09-15,1999-11-02,Craven County,Craven (County),99089,8582,7
1173,South Dakota,Velika katastrofa,1997-04-07,Flood,"Severe Flooding, Sever Winter Storms,Heavy Rains High Winds",0,1,1,0,1997-02-03,1997-05-24,Sanborn County,Sanborn (County),97049,80,20
3346,Ohio,Upravljanje hitnim situacijama,2012-06-30,Severe Storm,Severe Storms,0,0,1,0,2012-06-29,2012-07-02,Morrow County (Ohio),Morrow (County),12043,2280,11
1352,Alabama,Velika katastrofa,2000-12-18,Severe Storm,Severe Storms And Tornadoes,0,1,1,0,2000-12-16,2000-12-22,Shelby County (Alabama),St. Clair (County),176,1038,12
1458,Virginia,Velika katastrofa,2003-03-27,Severe Storm,"Severe Winter Storm, Record/Near Record Snowfall, Heavy Rain,Floodind, And Mudslide",1,1,1,1,2003-02-15,2003-02-28,Buchanan County (Virginia),Buchanan (County),3015,8394,18
214,Georgia,Velika katastrofa,1966-03-14,Flood,Flooding,0,1,1,0,1966-03-14,1966-03-14,Toombs County,Toombs (County),66012,6253,16
966,Florida,Velika katastrofa,1992-10-08,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1992-10-03,1992-10-04,Hillsborough County (Florida),Hillsborough (County),92048,7993,2
778,Oklahoma,Velika katastrofa,1986-10-14,Flood,Severe Storms & Flooding,0,1,1,0,1986-09-26,1986-10-15,Kay County,Kay (County),86033,4882,15
3406,Georgia,Upravljanje hitnim situacijama,2018-10-10,Hurricane,Hurricane Michael,0,0,1,0,2018-10-09,2018-10-23,Morgan County (Georgia),Morgan (County),18113,7483,22
1749,Missouri,Velika katastrofa,2008-03-19,Severe Storm,Severe Storms And Flooding,0,0,1,1,2008-03-17,2008-05-09,Dent County,Dent (County),8037,8202,15
4667,Alaska,Velika katastrofa,2022-08-26,Flood,Flooding,0,0,1,1,2022-05-08,2022-05-11,Bethel Census Area,Kuspuk Regional Educational Attendance Area,22059,4595,19
3239,Iowa,Upravljanje hitnim situacijama,2005-09-10,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Pottawattamie County,Pottawattamie (County),5114,1956,14
714,Kansas,Velika katastrofa,1984-06-22,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1984-06-07,1984-06-09,Nemaha County (Kansas),Nemaha (County),84047,7920,3
3146,North Carolina,Upravljanje hitnim situacijama,1999-09-15,Hurricane,Hurricane Floyd Emergency Declarations,0,0,1,0,1999-09-15,1999-10-04,Rockingham County (North Carolina),Rockingham (County),99088,3936,13
1135,Virginia,Velika katastrofa,1996-09-06,Hurricane,Hurricane Fran And Associated Severe Storm Cond,0,1,0,0,1996-09-05,1996-09-23,Isle of Wight County,Isle of Wight (County),96179,2259,12
1191,Iowa,Velika katastrofa,1997-11-20,Snowstorm,Severe Snowstorms,0,0,1,0,1997-10-26,1997-10-28,Warren County (Iowa),Warren (County),98225,6709,5
4173,Indiana,Velika katastrofa,2014-04-22,Severe Storm,Severe Winter Storm And Snowstorm,0,0,1,1,2014-01-05,2014-01-09,Morgan County (Indiana),Morgan (County),14016,1049,2
1086,Virginia,Velika katastrofa,1996-01-13,Snowstorm,Blizzard Of 96 (Severe Snow Storm),0,0,1,0,1996-01-06,1996-01-12,Fauquier County,Fauquier (County),96018,7604,23
1516,Arkansas,Velika katastrofa,2004-05-07,Severe Storm,"Sever Storms, Flooding And Landslides",0,0,1,1,2004-04-19,2004-05-18,Marion County (Arkansas),Marion (County),4029,4474,19
1976,Kentucky,Velika katastrofa,2011-05-04,Severe Storm,"Severe Storms, Tornadoes, And Flooding",1,0,1,1,2011-04-12,2011-05-20,Floyd County (Kentucky),Floyd (County),11084,4034,16
764,South Dakota,Velika katastrofa,1986-05-03,Flood,Severe Storms & Flooding,0,0,1,0,1986-03-22,1986-05-10,Hand County,Hand (County),86011,8827,23
3275,Iowa,Upravljanje hitnim situacijama,2007-03-30,Snowstorm,Snow,0,0,1,0,2007-02-28,2007-03-02,Guthrie County,Guthrie (County),7806,9799,2
186,Idaho,Velika katastrofa,1964-12-31,Flood,Heavy Rains & Flooding,0,1,1,0,1964-12-31,1964-12-31,Gem County,Gem (County),64033,3670,17
3426,Puerto Rico,Upravljanje hitnim situacijama,2020-01-07,Earthquake,Earthquakes,0,0,1,0,2019-12-28,2020-02-04,Ciales Municipio,Ciales (Municipio),20001,1503,23
1084,West Virginia,Velika katastrofa,1996-01-13,Snowstorm,Blizzard Of 96 (Severe Snow Storm),0,0,1,0,1996-01-06,1996-01-12,Wirt County,Wirt (County),96013,5529,20
4160,Arkansas,Velika katastrofa,2014-01-06,Severe Ice Storm,Severe Winter Storm,0,0,1,1,2013-12-05,2013-12-06,Johnson County (Arkansas),Johnson (County),13101,1433,5
4031,New York,Velika katastrofa,2011-09-13,Severe Storm,Remnants Of Tropical Storm Lee,1,0,1,1,2011-09-07,2011-09-11,Chemung County,Chemung (County),11236,9889,6
4553,North Dakota,Velika katastrofa,2020-07-09,Flood,Flooding,0,0,1,1,2020-04-01,2020-04-25,Traill County,Traill (County),20188,1817,2
255,Minnesota,Velika katastrofa,1969-04-18,Flood,Flooding,0,1,1,0,1969-04-18,1969-04-18,Faribault County,Faribault (County),69018,9402,8
4007,Wyoming,Velika katastrofa,2011-07-22,Severe Storm,"Severe Storms, Flooding, And Landslides",0,0,1,1,2011-05-18,2011-07-08,Albany County (Wyoming),Albany (County),11166,7947,21
1151,Minnesota,Velika katastrofa,1997-01-07,Severe Storm,Severe Ice Storm,0,0,1,0,1996-11-14,1996-11-30,Cottonwood County,Cottonwood (County),97025,4885,23
3105,Pennsylvania,Upravljanje hitnim situacijama,1993-03-16,Snowstorm,Severe Snowfall & Winter Storm,0,0,1,0,1993-03-13,1993-03-17,Bradford County (Pennsylvania),Bradford (County),93018,7288,18
237,Kentucky,Velika katastrofa,1968-05-04,Tornado,Tornadoes & Severe Storms,0,1,1,0,1968-05-04,1968-05-04,Pendleton County (Kentucky),Pendleton (County),68007,9144,21
4178,Vermont,Velika katastrofa,2014-06-11,Flood,Severe Storms And Flooding,0,0,1,1,2014-04-15,2014-04-18,Essex County (Vermont),Essex (County),14040,8861,2
3171,Texas,Upravljanje hitnim situacijama,2003-02-01,Other,Loss Of The Space Shuttle Columbia,0,0,1,0,2003-02-01,2003-02-01,Walker County (Texas),Walker (County),3007,8374,5
1262,Tennessee,Velika katastrofa,1999-01-19,Severe Storm,"Severe Storms, Tornadoes And High Winds",0,1,1,1,1999-01-17,1999-02-01,Decatur County (Tennessee),Decatur (County),99005,1819,10
3260,Louisiana,Upravljanje hitnim situacijama,2005-09-21,Hurricane,Hurricane Rita,0,0,1,0,2005-09-20,2005-11-01,St. Bernard Parish,St. Bernard (Parish),5136,7933,17
3057,Michigan,Upravljanje hitnim situacijama,1978-01-27,Snowstorm,Blizzards & Snowstorms,0,0,1,0,1978-01-27,1978-01-27,Charlevoix County,Charlevoix (County),78028,7970,18
2315,Wyoming,Upravljanje požarom,2000-07-31,Fire,Wy - Dead Horse Fire,0,0,1,0,2000-07-30,2000-08-03,Natrona County,Natrona (County),82,5295,4
1037,Washington,Velika katastrofa,1994-08-02,Fishing Losses,The El Nino (The Salmon Industry),0,1,0,0,1994-05-01,1994-10-31,Jefferson County (Washington),Jefferson (County),94076,4399,1
1292,North Carolina,Velika katastrofa,1999-09-16,Hurricane,Hurricane Floyd Major Disaster Declarations,0,1,1,1,1999-09-15,1999-11-02,Beaufort County (North Carolina),Beaufort (County),99089,3932,7
200,Colorado,Velika katastrofa,1965-06-19,Tornado,"Tornadoes, Severe Storms & Flooding",0,1,1,0,1965-06-19,1965-06-19,Las Animas County,Las Animas (County),65026,828,14
3554,Texas,Upravljanje hitnim situacijama,2021-02-14,Severe Ice Storm,Severe Winter Storm,0,0,1,0,2021-02-11,2021-02-21,Ellis County (Texas),Ellis (County),21009,3628,13
4165,Georgia,Velika katastrofa,2014-03-06,Severe Ice Storm,Severe Winter Storm,0,0,1,1,2014-02-10,2014-02-14,Candler County,Candler (County),14014,9567,12
3386,South Carolina,Upravljanje hitnim situacijama,2017-09-07,Hurricane,Hurricane Irma,0,0,1,0,2017-09-06,2017-09-13,Laurens County (South Carolina),Laurens (County),17098,6147,5
4635,Washington,Velika katastrofa,2022-01-05,Flood,"Severe Storms, Straight-Line Winds, Flooding, Landslides, And Mudslides",0,0,1,1,2021-11-05,2021-12-02,Jefferson County (Washington),Jefferson (County),22002,3935,7
1155,California,Velika katastrofa,1997-01-04,Severe Storm,"Severe Storms, Flooding, Mud And Landslides",0,1,1,1,1996-12-28,1997-04-01,Calaveras County,Calaveras (County),97029,7915,15
871,Illinois,Velika katastrofa,1990-06-22,Severe Storm,"Severe Storms, Tornadoes & Flooding",0,1,0,0,1990-05-15,1990-07-03,Marion County (Illinois),Marion (County),90026,8176,7
705,Kentucky,Velika katastrofa,1984-05-15,Severe Storm,"High Winds, Tornadoes & Flooding",0,1,1,0,1984-05-15,1984-05-15,Leslie County,Leslie (County),84033,8689,19
3243,Nevada,Upravljanje hitnim situacijama,2005-09-13,Hurricane,Hurricane Katrina Evacuation,0,0,1,0,2005-08-29,2005-10-01,Churchill County,Churchill (County),5115,742,10
3023,California,Upravljanje hitnim situacijama,1977-01-20,Drought,Drought,0,0,1,0,1977-01-20,1977-01-20,Sacramento County,Sacramento (County),77024,1553,17
373,Illinois,Velika katastrofa,1973-04-26,Flood,Severe Storms & Flooding,0,1,1,0,1973-04-26,1973-04-26,La Salle County (Illinois),La Salle (County),73032,4453,11
1841,Kentucky,Velika katastrofa,2009-05-29,Severe Storm,"Severe Storms, Tornadoes, Flooding And Mudslides",0,0,1,1,2009-05-03,2009-05-20,Carlisle County,Carlisle (County),9066,555,7
1176,Arkansas,Velika katastrofa,1997-04-14,Flood,"Flooding, Severe Storms",0,1,1,0,1997-04-04,1997-04-21,White County (Arkansas),White (County),97052,6611,14
3534,North Carolina,Upravljanje hitnim situacijama,2020-08-02,Hurricane,Hurricane Isaias,0,0,1,0,2020-07-31,2020-08-04,Sampson County,Sampson (County),20220,4749,7
1941,Minnesota,Velika katastrofa,2010-10-13,Severe Storm,Severe Storms And Flooding,0,0,1,1,2010-09-22,2010-10-14,Wabasha County,Wabasha (County),10113,7639,13
448,Louisiana,Velika katastrofa,1974-09-23,Hurricane,Hurricane Carmen,0,1,1,0,1974-09-23,1974-09-23,Terrebonne Parish,Terrebonne (Parish),75025,7358,21
3385,Florida,Upravljanje hitnim situacijama,2017-09-05,Hurricane,Hurricane Irma,0,0,1,0,2017-09-04,2017-10-18,Gulf County,Gulf (County),17094,4639,17
1909,Tennessee,Velika katastrofa,2010-05-04,Severe Storm,"Severe Storms, Flooding, Straight-Line Winds, And Tornadoes",1,0,1,1,2010-04-30,2010-05-18,Hickman County (Tennessee),Hickman (County),10053,530,21
3291,Mississippi,Upravljanje hitnim situacijama,2008-08-30,Hurricane,Hurricane Gustav,0,0,1,0,2008-08-28,2008-09-08,Jackson County (Mississippi),Jackson (County),8134,5556,8
4346,South Carolina,Velika katastrofa,2017-10-16,Hurricane,Hurricane Irma,0,0,1,1,2017-09-06,2017-09-13,Allendale County,Allendale (County),17120,207,3
